conditionName,apertureDegree,probeEccentricity,relativeTilt,trialNumber,probeAngle,absoluteTilt,reactionTime,stimulusTime,probeVelX,probeVelY,probeStartLocationX,probeStartLocationY,probeEndLocationX,probeEndLocationY,sceneIndex
FullFlow2,1,1,-3.776108,1,15,11.22389,5.505336,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,7
ControlCondition,2,1,8.439821,2,-15,-6.560179,3.801737,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,3
OppositeFlow,2,1,0,3,0,0,0.3324584,2,0,-0.2,1.5,0,1.5,-0.2,8
FullFlow2,3,0,-4.706971,4,15,10.29303,2.979962,2,-0.05176381,-0.1931852,1,0,1,0.2,7
FullFlow2,0,0,-1.43619,5,15,13.56381,5.224895,2,-0.05176381,-0.1931852,1,0,1,0.2,7
ControlCondition,0,0,-15,6,15,0,0.3616934,2,-0.05176381,-0.1931852,1,0,1,0.2,3
ControlCondition,3,0,6.850409,7,-15,-8.149591,2.144295,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,3
SameFlow,1,0,15,8,-15,0,0.3899894,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,9
SameFlow,0,0,-4.635758,9,15,10.36424,2.640587,2,-0.05176381,-0.1931852,1,0,1,0.2,9
OppositeFlow,1,1,-4.353445,10,15,10.64655,2.927269,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,8
FullFlow2,1,0,8.799047,11,0,8.799047,2.733341,2,0,-0.2,1,0,1,-0.2,7
SameFlow,0,1,-3.032007,12,15,11.96799,2.844741,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,9
OppositeFlow,2,1,-5.109044,13,15,9.890956,2.449648,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,8
ControlCondition,1,0,8.853792,14,-15,-6.146208,1.771186,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,3
ControlCondition,0,1,0,15,0,0,0.3910039,2,0,-0.2,1.5,0,1.5,-0.2,3
FullFlow2,1,0,7.559741,16,0,7.559741,2.068184,2,0,-0.2,1,0,1,-0.2,7
FullFlow2,2,1,-6.856443,17,15,8.143557,2.162416,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,7
SameFlow,3,0,15,18,-15,0,0.5061134,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,9
SameFlow,0,0,0,19,0,0,1.091928,2,0,-0.2,1,0,1,-0.2,9
ControlCondition,3,0,-10.01235,20,15,4.987649,2.186346,2,-0.05176381,-0.1931852,1,0,1,0.2,3
SameFlow,0,1,-5.542732,21,15,9.457268,2.670241,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,9
OppositeFlow,3,1,15,22,-15,0,0.3640929,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,8
FullFlow2,3,1,-3.867672,23,15,11.13233,2.763267,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,7
FullFlow2,1,1,7.562323,24,0,7.562323,2.720115,2,0,-0.2,1.5,0,1.5,-0.2,7
ControlCondition,0,1,0,25,0,0,0.4878176,2,0,-0.2,1.5,0,1.5,-0.2,3
ControlCondition,1,0,15,26,-15,0,0.5923762,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,3
SameFlow,2,1,10.14035,27,0,10.14035,2.58371,2,0,-0.2,1.5,0,1.5,-0.2,9
OppositeFlow,2,0,15,28,-15,0,0.440129,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,8
OppositeFlow,0,0,0,29,0,0,1.175877,2,0,-0.2,1,0,1,-0.2,8
FullFlow2,3,0,8.145338,30,0,8.145338,2.256786,2,0,-0.2,1,0,1,-0.2,7
FullFlow2,3,1,20.82839,31,-15,5.828388,5.424847,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,7
OppositeFlow,3,1,15,32,-15,0,0.3771119,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,8
SameFlow,3,0,15,33,-15,0,0.3572626,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,9
OppositeFlow,0,0,15,34,-15,0,0.4104171,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,8
ControlCondition,1,1,0,35,0,0,0.4238116,2,0,-0.2,1.5,0,1.5,-0.2,3
SameFlow,1,0,9.97919,36,0,9.97919,2.844237,2,0,-0.2,1,0,1,-0.2,9
ControlCondition,3,1,-3.534348,37,15,11.46565,2.935144,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,3
SameFlow,2,0,-3.533123,38,15,11.46688,2.838069,2,-0.05176381,-0.1931852,1,0,1,0.2,9
SameFlow,1,1,-2.867273,39,15,12.13273,3.117268,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,9
OppositeFlow,0,0,-2.701612,40,15,12.29839,3.049413,2,-0.05176381,-0.1931852,1,0,1,0.2,8
ControlCondition,1,0,0,41,0,0,0.4910425,2,0,-0.2,1,0,1,-0.2,3
ControlCondition,3,0,15,42,-15,0,0.6089252,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,3
SameFlow,1,0,18.16091,43,-15,3.160911,1.844952,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,9
ControlCondition,1,0,-5.857491,44,15,9.142509,2.473226,2,-0.05176381,-0.1931852,1,0,1,0.2,3
SameFlow,0,0,9.056693,45,0,9.056693,2.420135,2,0,-0.2,1,0,1,-0.2,9
ControlCondition,0,1,0,46,0,0,0.4205559,2,0,-0.2,1.5,0,1.5,-0.2,3
SameFlow,3,1,2.699512,47,15,17.69951,4.192256,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,9
FullFlow2,3,0,24.35222,48,-15,9.352218,2.122789,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,7
OppositeFlow,2,1,-0.073516,49,0,-0.073516,3.82684,2,0,-0.2,1.5,0,1.5,-0.2,8
SameFlow,3,1,21.47993,50,-15,6.479933,2.740403,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,9
OppositeFlow,0,0,0,51,0,0,1.131041,2,0,-0.2,1,0,1,-0.2,8
ControlCondition,1,0,0,52,0,0,0.3961192,2,0,-0.2,1,0,1,-0.2,3
FullFlow2,3,0,22.56558,53,-15,7.565576,2.259768,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,7
FullFlow2,0,0,-0.5398607,54,15,14.46014,3.514381,2,-0.05176381,-0.1931852,1,0,1,0.2,7
ControlCondition,0,0,-3.858034,55,15,11.14197,4.867792,2,-0.05176381,-0.1931852,1,0,1,0.2,3
ControlCondition,3,1,-3.611784,56,15,11.38822,3.68508,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,3
SameFlow,2,1,-3.121998,57,15,11.878,3.341793,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,9
SameFlow,3,1,-1.962156,58,15,13.03784,4.043765,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,9
FullFlow2,3,0,12.04854,59,0,12.04854,2.929838,2,0,-0.2,1,0,1,-0.2,7
SameFlow,2,0,4.703241,60,15,19.70324,4.335633,2,-0.05176381,-0.1931852,1,0,1,0.2,9
