conditionName,apertureDegree,probeEccentricity,relativeTilt,trialNumber,probeAngle,absoluteTilt,reactionTime,stimulusTime,probeVelX,probeVelY,probeStartLocationX,probeStartLocationY,probeEndLocationX,probeEndLocationY,sceneIndex
GlobalFlow,0,1,23.84821,1,-15,8.84821,2.386775,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,5
GlobalFlow,0,1,-85.89933,2,15,-70.89933,6.429866,2,-0.07764572,-0.2897778,1,0,1,0.2,5
LocalFlow,1,0,46.35778,1,-15,31.35778,4.551397,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,6
LocalFlow,2,1,-77.08476,2,15,-62.08476,3.038126,2,-0.07764572,-0.2897778,1,0,1,0.2,6
ControlCondition,1,0,5.385409,3,-15,-9.614591,1.009634,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,2
GlobalFlow,0,0,-91.47115,4,15,-76.47115,3.608435,2,-0.07764572,-0.2897778,1,0,1,0.2,5
FullFlow1,3,0,30.12485,1,-15,15.12485,2.637234,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,4
LocalFlow,2,1,15,1,-15,0,0.9372688,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,6
LocalFlow,2,0,-15,2,15,0,0.35915,2,-0.07764572,-0.2897778,1,0,1,0.2,6
GlobalFlow,3,0,15,3,-15,0,0.2573553,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,5
LocalFlow,0,1,36.08443,1,-15,21.08442,1.342208,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,6
GlobalFlow,2,1,-85.73204,2,15,-70.73204,3.398741,2,-0.07764572,-0.2897778,1,0,1,0.2,5
LocalFlow,2,1,26.92058,1,0,26.92058,2.35611,2,0,-0.3,1,0,1,-0.3,8
FullFlow1,0,0,-36.13772,2,-15,-51.13772,2.679783,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,6
LocalFlow,1,0,-20.47293,3,0,-20.47293,1.351581,2,0,-0.3,1,0,1,-0.3,8
FullFlow1,1,0,20.11427,4,-15,5.114274,1.910038,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,6
GlobalFlow,3,0,38.89099,5,-15,23.89099,2.489605,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,7
LocalFlow,3,0,-31.26445,6,-15,-46.26445,2.902422,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,8
GlobalFlow,3,1,20.13885,7,-15,5.138855,1.247654,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,7
GlobalFlow,1,0,-45.04879,8,15,-30.04879,1.673023,2,-0.07764572,-0.2897778,1,0,1,0.2,7
FullFlow1,0,1,10.14309,9,-15,-4.856912,0.7861537,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,6
ControlCondition,1,0,0,1,0,0,4.591161,2,0,-0.3,1,0,1,-0.3,4
LocalFlow,3,1,0,2,0,0,1.327684,2,0,-0.3,1,0,1,-0.3,8
LocalFlow,3,1,0,3,0,0,8.07935,2,0,-0.3,1,0,1,-0.3,8
FullFlow1,2,0,15,4,-15,0,2.673886,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,6
ControlCondition,3,0,-18.49398,5,-15,-33.49398,3.61659,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,4
ControlCondition,2,0,-73.25754,6,15,-58.25754,4.716649,2,-0.07764572,-0.2897778,1,0,1,0.2,4
ControlCondition,3,1,-84.61916,7,15,-69.61916,7.776362,2,-0.07764572,-0.2897778,1.5,0,1.5,0.2,4
FullFlow1,0,0,-12.81995,8,0,-12.81995,2.272333,2,0,-0.3,1,0,1,-0.3,6
LocalFlow,0,0,-67.88049,9,15,-52.88049,3.412384,2,-0.07764572,-0.2897778,1,0,1,0.2,8
ControlCondition,3,0,-17.77259,10,0,-17.77259,2.207947,2,0,-0.3,1,0,1,-0.3,4
FullFlow1,1,0,0,11,0,0,1.721583,2,0,-0.3,1,0,1,-0.3,6
GlobalFlow,2,1,7.366793,12,-15,-7.633207,4.455705,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,7
ControlCondition,1,0,9.410021,13,15,24.41002,3.091085,2,-0.07764572,-0.2897778,1,0,1,0.2,4
ControlCondition,1,1,-51.8063,14,15,-36.8063,3.696376,2,-0.07764572,-0.2897778,1.5,0,1.5,0.2,4
FullFlow1,3,1,-12.58528,15,0,-12.58528,3.341409,2,0,-0.3,1,0,1,-0.3,6
FullFlow1,3,1,-69.26617,16,15,-54.26617,3.536267,2,-0.07764572,-0.2897778,1,0,1,0.2,6
LocalFlow,0,1,36.94725,17,0,36.94725,4.12658,2,0,-0.3,1,0,1,-0.3,8
LocalFlow,2,0,5.284746,18,15,20.28475,2.595311,2,-0.07764572,-0.2897778,1,0,1,0.2,8
ControlCondition,2,1,0,19,0,0,3.212963,2,0,-0.3,1.5,0,1.5,-0.3,4
FullFlow1,1,1,-43.01056,20,15,-28.01056,2.859297,2,-0.07764572,-0.2897778,1,0,1,0.2,6
GlobalFlow,3,0,-20.28371,21,-15,-35.28371,3.782571,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,7
LocalFlow,1,0,-75.0155,22,15,-60.0155,4.735569,2,-0.07764572,-0.2897778,1,0,1,0.2,8
FullFlow1,3,1,-4.268995,23,15,10.731,2.463653,2,-0.07764572,-0.2897778,1,0,1,0.2,6
LocalFlow,1,0,63.67336,24,-15,48.67336,5.384315,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,8
LocalFlow,2,1,-2.247272,25,-15,-17.24727,3.986022,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,8
FullFlow1,3,0,-49.39246,26,0,-49.39246,3.653718,2,0,-0.3,1,0,1,-0.3,6
GlobalFlow,0,0,-15.79815,27,0,-15.79815,2.088508,2,0,-0.3,1,0,1,-0.3,7
GlobalFlow,1,0,31.297,28,-15,16.297,2.817048,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,7
