size,condition,trial,subject,correct,RT
1,easy,1,1,1,577.883
1,easy,1,2,0,253.426
1,easy,1,3,1,276.346
1,easy,1,4,0,254.985
1,easy,1,5,1,282.83
1,easy,1,6,0,368.297
1,easy,1,7,1,640.901
1,easy,1,8,0,356.795
1,easy,1,9,1,680.78
1,easy,1,10,1,248.423
1,easy,2,1,1,644.023
1,easy,2,2,0,245.822
1,easy,2,3,1,297.885
1,easy,2,4,0,232.776
1,easy,2,5,0,340.205
1,easy,2,6,1,293.486
1,easy,2,7,0,722.294
1,easy,2,8,0,336.087
1,easy,2,9,1,570.433
1,easy,2,10,0,367.231
1,easy,3,1,1,520.585
1,easy,3,2,0,188.823
1,easy,3,3,1,387.816
1,easy,3,4,1,166.516
1,easy,3,5,1,297.022
1,easy,3,6,0,379.924
1,easy,3,7,1,570.485
1,easy,3,8,0,286.252
1,easy,3,9,1,741.715
1,easy,3,10,1,239.136
1,easy,4,1,1,537.34
1,easy,4,2,0,286.03
1,easy,4,3,0,328.82
1,easy,4,4,1,177.903
1,easy,4,5,0,319.047
1,easy,4,6,1,298.659
1,easy,4,7,1,613.602
1,easy,4,8,0,331.886
1,easy,4,9,1,740.096
1,easy,4,10,0,387.436
1,easy,5,1,0,718.861
1,easy,5,2,0,265.911
1,easy,5,3,0,351.735
1,easy,5,4,1,241.985
1,easy,5,5,0,321.07
1,easy,5,6,0,365.536
1,easy,5,7,1,505.16
1,easy,5,8,0,327.793
1,easy,5,9,1,662.297
1,easy,5,10,1,272.507
1,easy,6,1,1,550.469
1,easy,6,2,0,222.225
1,easy,6,3,0,383.989
1,easy,6,4,1,215.749
1,easy,6,5,0,294.071
1,easy,6,6,0,367.218
1,easy,6,7,1,533.779
1,easy,6,8,0,318.288
1,easy,6,9,1,626.383
1,easy,6,10,0,330.423
1,easy,7,1,1,631.24
1,easy,7,2,0,249.517
1,easy,7,3,1,277.161
1,easy,7,4,1,194.349
1,easy,7,5,1,246.412
1,easy,7,6,1,292.074
1,easy,7,7,1,516.148
1,easy,7,8,0,362.519
1,easy,7,9,1,599.156
1,easy,7,10,0,371.193
1,easy,8,1,1,602.221
1,easy,8,2,0,247.563
1,easy,8,3,1,262.756
1,easy,8,4,0,243.108
1,easy,8,5,1,258.807
1,easy,8,6,0,365.167
1,easy,8,7,1,491.756
1,easy,8,8,0,318.723
1,easy,8,9,1,655.771
1,easy,8,10,0,338.447
1,easy,9,1,1,589.839
1,easy,9,2,0,262.234
1,easy,9,3,1,305.121
1,easy,9,4,1,209.854
1,easy,9,5,1,232.545
1,easy,9,6,0,398.032
1,easy,9,7,1,525.254
1,easy,9,8,0,282.826
1,easy,9,9,1,694.43
1,easy,9,10,1,233.163
1,easy,10,1,0,680.255
1,easy,10,2,1,200.081
1,easy,10,3,0,416.878
1,easy,10,4,0,247
1,easy,10,5,1,287.093
1,easy,10,6,0,404.229
1,easy,10,7,1,517.838
1,easy,10,8,1,296.852
1,easy,10,9,0,795.664
1,easy,10,10,0,351.021
1,easy,11,1,1,630.992
1,easy,11,2,0,257.15
1,easy,11,3,0,319.104
1,easy,11,4,0,238.112
1,easy,11,5,1,286.976
1,easy,11,6,0,404.835
1,easy,11,7,0,656.376
1,easy,11,8,0,302.709
1,easy,11,9,0,889.788
1,easy,11,10,0,390.989
1,easy,12,1,1,472.82
1,easy,12,2,0,214.977
1,easy,12,3,0,383.783
1,easy,12,4,1,226.479
1,easy,12,5,1,302.819
1,easy,12,6,0,366.518
1,easy,12,7,1,569.919
1,easy,12,8,0,379.34
1,easy,12,9,0,951.797
1,easy,12,10,0,321.215
1,easy,13,1,1,670.254
1,easy,13,2,0,197.415
1,easy,13,3,1,307.176
1,easy,13,4,0,280.835
1,easy,13,5,0,328.913
1,easy,13,6,0,441.334
1,easy,13,7,0,575.797
1,easy,13,8,0,325.919
1,easy,13,9,1,715.593
1,easy,13,10,0,384.684
1,easy,14,1,1,548.671
1,easy,14,2,0,202.387
1,easy,14,3,0,284.949
1,easy,14,4,1,221.856
1,easy,14,5,1,297.318
1,easy,14,6,0,343.494
1,easy,14,7,1,544.307
1,easy,14,8,0,315.702
1,easy,14,9,0,700.801
1,easy,14,10,0,369.293
1,easy,15,1,1,618.789
1,easy,15,2,0,271.268
1,easy,15,3,0,326.773
1,easy,15,4,0,236.428
1,easy,15,5,1,295.397
1,easy,15,6,0,422.219
1,easy,15,7,1,613.857
